SpeciesName,HerbariumCode,Source,Collector,RecordNumber,CollectionDay,CollectionMonth,CollectionYear,Country,Admin1,Admin2,Admin3,Locality,Longitude,Latitude,CoordUncertainty,LocationNotes,EcologyNotes,AnalysisNotes,Remove,CountyLevelOnly
Alnus incana,WIS,wisc_herb_scrape.R,"Mclaughlin, Douglas",UWGB13570,10,5,1984,USA,Wisconsin,Brown,Howard,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB13710,20,5,1984,USA,Wisconsin,Brown,Green Bay,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Moore, James P.",UWGB13803,24,4,1984,USA,Wisconsin,Brown,Scott,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,Dm,UWGB14061,16,6,1977,USA,Wisconsin,Forest,Crandon,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Meeker, James E.",UWGB15240,10,6,1983,USA,Wisconsin,Door,Baileys Harbor,OLD LIGHTHOUSE POINT,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Meeker, James E.",UWGB15241,10,6,1983,USA,Wisconsin,Door,Baileys Harbor,OLD LIGHTHOUSE POINT,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Moore, James P.",UWGB16057,31,8,1986,USA,Wisconsin,Manitowoc,Gibson,DRUMM MEMORIAL FOREST,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB16103,30,3,1986,USA,Wisconsin,Brown,Suamico,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB16165,30,3,1986,USA,Wisconsin,Brown,Howard,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB16417,12,6,1986,USA,Wisconsin,Door,Sevastopol,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB17499,1,9,1987,USA,Wisconsin,Marinette,Silver Cliff,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Moore, James P.",UWGB18135,19,9,1987,USA,Wisconsin,Brown,Suamico,BARKHAUSEN,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB18402,23,6,1988,USA,Wisconsin,Brown,Scott,BLUEBERRY MARSH,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB19152,1,9,1988,USA,Wisconsin,Marinette,Goodman,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB20095,21,8,1989,USA,Wisconsin,Marinette,Goodman,HOBACHEE LAKE,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB20187,16,9,1989,USA,Wisconsin,Forest,Popple River,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Schuster, Carol",UWGB21053,NA,NA,NA,USA,Wisconsin,Door,Sturgeon Bay,,0,0,,,Collection date: 1988,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB21553,15,3,1990,USA,Wisconsin,Brown,Green Bay,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB22609,15,8,1992,USA,Wisconsin,Door,Baileys Harbor,BEDROCK BEACH,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Schuler, Cathy",UWGB3553,8,4,1976,USA,Wisconsin,Manitowoc,Eaton,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Brinker, Dave F.",UWGB3554,11,4,1977,USA,Wisconsin,Brown,Suamico,REFORESTATION CAMP,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Brinker, Dave F.",UWGB3555,15,5,1977,USA,Wisconsin,Brown,Suamico,REFORESTATION CAMP,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB5698,6,5,1979,USA,Wisconsin,Marinette,Goodman,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB5699,6,5,1979,USA,Wisconsin,Marinette,Goodman,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Trick, Joel A.",UWGB6052,16,4,1979,USA,Wisconsin,Manitowoc,Two Rivers,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Trick, Joel A.",UWGB6053,10,4,1979,USA,Wisconsin,Brown,Green Bay,BAIRDS CREEK,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB6407,9,4,1980,USA,Wisconsin,Brown,Howard,PETERS MARSH,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Trick, Joel A.",UWGB6872,23,4,1980,USA,Wisconsin,Brown,Ashwaubenon,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Rickey, Marlin",UWGB819,19,6,1965,USA,Wisconsin,Brown,Eaton,LILY LAKE,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Rose, Virginia",UWGB820,2,10,1972,USA,Wisconsin,Brown,Eaton,LILY LAKE,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Howlett, George",UWGB821,15,7,1968,USA,Wisconsin,Brown,Suamico,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Howlett, George",UWGB822,28,9,1970,USA,Wisconsin,Brown,Suamico,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Howlett, George",UWGB823,28,9,1970,USA,Wisconsin,Brown,Suamico,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Trick, Joel A.",UWGB8374,30,3,1981,USA,Wisconsin,Brown,Scott,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB8577,18,4,1979,USA,Wisconsin,Brown,Howard,W edge of Peters Marsh,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Wallander, Rosie",UWGB9446,8,4,1981,USA,Wisconsin,Brown,Green Bay,UWGB,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Davis, J.D.",UWGB9875,21,8,1976,USA,Wisconsin,Chippewa,Goetz,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"McCauley, Dennis J.",UWL1090,17,9,1980,USA,Wisconsin,La Crosse,,Marsh Rd off Co Tk B,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",UWL11738,27,6,1970,USA,Wisconsin,Bayfield,Drummond,"Perch Lake Campground area, Chequamegon National Forest; ca. 5mi N of Drummond",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",UWL11740,10,6,1972,USA,Wisconsin,Ashland,Long Island,Sand formed island in Lake Superior S. of Madeline Island in (but not part of) the Apostle Island group,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",UWL11741,25,4,1969,USA,Wisconsin,Douglas,,"12mi S of Superior on Hwy 35; also sections 21,27",0,0,,,"small tree, 6ft",,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",UWL11742,29,6,1971,USA,Wisconsin,Douglas,South Range,4.5mi E-NE of South Range; 6.5mi SE of Superior,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",UWL11743,22,5,1974,USA,Wisconsin,Douglas,Solon Springs,St. Croix Lake at Solon Springs,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",UWL11744,20,6,1970,USA,Wisconsin,Douglas,,1mi N of jct Co. M and Hwy 35; 16mi S of Pattison Park,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Harriman, Neil A.",UWL11746,19,9,1970,USA,Wisconsin,Marinette,Wausaukee,"beside US 141 at Nejedlo Rd, just S of Wausaukee",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Harriman, Neil A.",UWL11749,11,6,1972,USA,Wisconsin,Douglas,,town road near Sullivan Lake,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Ludwig, Larry",UWL11750,12,7,1970,USA,Wisconsin,Ashland,,[orig. T49N-err],0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",UWL11754,10,9,1971,USA,Wisconsin,Douglas,Superior,rear beach area of Wisconsin Point forming the Superior Harbor,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,Team 2,UWL1283,23,7,1975,USA,Wisconsin,Ashland,Michigan Island,"Plot 58, A-",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",UWL28895,31,7,1978,USA,Wisconsin,Ashland,Outer Island,SE corner of Outer Island [S15 - original in error; SW corner of island; Sand Point],0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",UWL29460,22,8,1969,USA,Wisconsin,Bayfield,Drummond,"Lake Owen Campground area, ca. 5mi W Drummond",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Kott, Bonnie K.",UWL30855,17,9,1980,USA,Wisconsin,La Crosse,,CTH O and Swamp Road,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Hansen, Marilyn",UWL30952,18,7,1971,USA,Wisconsin,Taylor,,"S shore of North Twin Lake, 1mi SW of S end of Mondeaux Flowage, 11mi (by air) NNW of Medford",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",UWL31032,9,6,1980,USA,Wisconsin,Ashland,Oak Island,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Bjork, Ann",UWL31320,9,7,1980,USA,Wisconsin,Iron,,ca. 7mi S Saxon,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",UWL31324,18,6,1979,USA,Wisconsin,Bayfield,Raspberry Island,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"McDonald, Sue",UWL31769,9,8,1980,USA,Wisconsin,Douglas,,"Brietzmans Bog, ca. 20mi S of Superior",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",UWL31993,25,7,1979,USA,Wisconsin,Bayfield,York Island,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Callister, Steven M.",UWL32875,24,9,1980,USA,Wisconsin,Bayfield,,Anderson Lake,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Lahti, Duane",UWL32876,13,6,1980,USA,Wisconsin,Bayfield,,Muskeg River,0,0,,,large numbers,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Koch, Rudy G.",UWL3976,23,6,1976,USA,Wisconsin,Douglas,Patzau,"ca. 1mi S, 0.5mi E Patzau - Little Balsam Basin",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Ziegler, S.R.",UWL40325,21,9,1974,USA,Wisconsin,La Crosse,,E of La Crosse below road between CTH O and CTH M,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Nontelle, Deon M.",UWL40326,14,9,1972,USA,Wisconsin,La Crosse,,CTH J; 0.5mi S of Hwy 16,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Nontelle, Deon M.",UWL40328,11,9,1972,USA,Wisconsin,La Crosse,,1mi E of jct. of CTH D with CTH C,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Nontelle, Deon M.",UWL40330,22,5,1972,USA,Wisconsin,La Crosse,Barre,"near Barre dump, 1mi from Barre Mills on CTH O",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Nontelle, Deon M.",UWL40331,31,5,1971,USA,Wisconsin,La Crosse,,"CTH B, E of jct of CTHs. O and B",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Liebsetler, Howard",UWL40332,17,4,1966,USA,Wisconsin,La Crosse,,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Valiquette, Keith",UWL40333,8,5,1966,USA,Wisconsin,La Crosse,,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Hornung, Tom",UWL40335,9,9,1978,USA,Wisconsin,Buffalo,Milton,Fountain City Bay across from Merrick Park. Mississippi River,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Hartley, Thomas G.",UWL40336,13,9,1958,USA,Wisconsin,Adams,Springville,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Davis, J.D.",UWL40337,21,8,1976,USA,Wisconsin,Chippewa,,Cadote. On Hwy 27 wayside 2mi. from 29/27 jct.,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Nash, M.",UWL40338,18,5,1969,USA,Wisconsin,Barron,New Auburn,1mi N of New Auburn [Chippewa Co.] along Hwy 53,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Sohmer, S.H.",UWL40339,18,5,1969,USA,Wisconsin,Barron,New Auburn,about 5mi N of New Auburn [Chippewa Co.] on Hwy 53,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Gabrielson, L.A.",UWL40340,17,5,1969,USA,Wisconsin,Barron,,6mi N of New Auburn on Hwy 53,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Sefton, D.F.",UWL40341,21,9,1974,USA,Wisconsin,Vilas,Phelps,"Sand Lake, near old public boat landing",0,0,,,"Tag alder, catkins and cones; bush approx. 2.3m tall",,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Ekern, Steven L.",UWL40342,11,9,1976,USA,Wisconsin,Trempealeau,,"Tamarack Creek Area, 8mi W [sic for N] of Centerville on Hwy 93, 2mi S on Co Tk F",0,0,,,"shrub, up to 4m high",,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Noel, Richard",UWL40343,5,4,1967,USA,Wisconsin,Vernon,Stoddard,0.5mi S of Stoddard,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Lenser, Gregory J.",UWL40344,7,5,1971,USA,Wisconsin,Trempealeau,Centerville,5mi N of Centerville on Hwy 93,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Hall, Wayne",UWL40345,11,4,1966,USA,Wisconsin,Monroe,,Tarr Creek,0,0,,,Fruit collected 11/Apr/1966; leaves collected 22/May/1966,,,1
